,id,name,des
备注,fashionId,名字,时装描述
,101,默认,
,102,默认,
,103,默认,
,104,默认,
,105,默认,
,106,默认,
,107,默认,
,108,默认,
,111,默认,
,112,默认,
,113,默认,
,114,默认,
,201,默认,
,301,默认,
,302,默认,
,401,默认,
,10102,叛逆奏音,嗨起来吧！
,10103,甲子园之梦,秋季新款——甲子园之梦。顶级面料缝制，轻便灵活，透气耐磨。彰显校园气质，肩负学院荣光，助你击出一锤定音必胜全垒打！
,10301,地狱震弦,接下来，才是地狱！
,10401,沉响之奏,引领奏响的极限！
,10801,幻想文学社,秋季新款——幻想文学社。经典剪裁设计，展露学院朝气，隐藏你不为人知的另一面。
,20101,喵之魔导士,喵言喵语，你不懂
,20102,幻电歌姬,拉比特乐队版权所属：幻电歌姬。多层百褶裙设计，搭配射频识别式光导饰带，让镜头焦点永远紧随而动。
,20103,旅行理科生,秋季新款——旅行理科生。艳丽明亮的雨披外套，小巧妥帖的实用背包，性价比极高，适合出游远行。即使是一个人的旅行，也要照顾好自己。
,30103,骸音之颤,拉比特乐队版权所属：骸音之颤。天然皮革搭配光感塑胶装饰，集聚舞台注意力。朋克金属装饰结合明快配色，彰显不羁个性。
,30104,校园番长,秋季新款——校园番长。简单利落的短款造型设计，搭配随意绑在腰间的外套，展现随性张扬的个性。愿你不被规则束缚，释放天性。
,30202,问题美术部,秋季新款——问题美术部。名匠定制改造，美术主题装饰，展现自身个性，凸显艺术氛围。 愿你成为校园中最闪亮的星。
,40101,究极学霸,秋季新款——究极学霸。学院派斗篷制式，内衬简单又不失设计感的毛衣衬衫。独一无二的低调内涵，尽显学霸本色。
